brand,scent,soft,oz,pr,s1,s2,s3,s4,s5,state
complete,fresh,n,48,4.99,1,3,3,2,2,1
complete,fresh,y,32,2.99,1,3,3,5,5,1
complete,lemon,n,32,2.99,1,2,7,5,1,1
complete,lemon,y,64,3.99,1,9,5,8,1,1
complete,U,n,64,3.99,1,9,7,8,7,1
complete,U,y,48,4.99,1,3,3,2,3,1
Smile,fresh,n,64,2.99,1,9,9,9,6,1
Smile,fresh,y,48,3.99,1,7,7,6,5,1
Smile,lemon,n,48,3.99,1,7,7,6,1,1
Smile,lemon,y,32,4.99,1,1,1,1,1,1
Smile,U,n,32,4.99,1,1,3,1,2,1
Smile,U,y,64,2.99,1,9,3,9,9,1
Wave,fresh,n,32,3.99,7,1,7,4,5,1
Wave,fresh,y,64,4.99,5,5,3,3,2,1
Wave,lemon,n,64,4.99,5,5,5,3,1,1
Wave,lemon,y,48,2.99,9,9,5,7,1,1
Wave,U,n,48,2.99,9,9,5,7,7,1
Wave,U,y,32,3.99,7,1,5,4,5,1
Wave,lemon,n,64,2.99,8,9,6,9,3,1
Smile,lemon,n,32,4.99,2,1,3,2,1,1
Smile,fresh,y,48,2.99,2,8,4,5,5,1
complete,U,y,32,2.99,2,4,2,5,6,1
complete,lemon,y,48,3.99,2,6,6,6,1,1
complete,lemon,y,64,2.99,,,,,,2
Smile,fresh,y,48,2.99,,,,,,2
Smile,u,y,48,3.99,,,,,,2
Wave,u,y,48,2.99,,,,,,2
Smile,u,n,48,2.99,,,,,,2
